"
Term","
School","Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201420,HM,1,BIB,REL,313,34603,Historic Christian Belief,1230,1345,TR,READE,241,A,Roger Ringenberg,3,3,45,12,,
201420,HM,1,BIB,REL,313,35136,Historic Christian Belief,900,950,MWF,READE,211,A,Joseph Pak,3,3,45,25,,
201420,HM,1,BIB,REL,313,35805,Historic Christian Belief,800,850,MWF,AYRES,215,A,William Heth,3,3,45,15,,
201420,HM,1,BIB,REL,370,34625,Expository Bible Teaching,1400,1550,R,RA,CONF,A,BIB Adjunct,2,2,15,9,,
201420,HM,1,BIB,REL,370,35806,Global Theology,830,945,TR,EULER,63,A,Edward Meadors,3,3,20,11,,
201420,HM,1,BIB,REL,391,30043,Prep & Strat for Ch Wrld Ms-CC,1230,1345,TR,READE,118,A,Jennifer Collins,3,3,20,6,,
201420,HM,1,BIB,REL,410,35717,Theology of Worship,1200,1250,MWF,READE,120,A,Joseph Pak,3,3,20,9,,
201420,HM,1,BIB,REL,432,30044,World Mission Area Studies-SP,1530,1620,TR,READE,211,S,Roger Ringenberg,2,2,20,13,,
201420,HM,1,BIB,ISP,355,34661,Celtic Christianity,,,,IRD,,A,Michael Harbin,3,3,32,3,,
201490,HM,1,BIB,BIB,110,10011,Biblical Literature I,1100,1150,MWF,READE,211,A,Sheri Klouda,3,3,45,0,,YES
201490,HM,1,BIB,BIB,110,10013,Biblical Literature I,900,950,MWF,READE,211,A,Richard Smith,3,3,45,0,,YES
201490,HM,1,BIB,BIB,110,10014,Biblical Literature I,800,850,MWF,READE,211,A,Michael Harbin,3,3,45,2,,
201490,HM,1,BIB,BIB,110,10015,Biblical Literature I,1200,1250,MWF,EULER,130,A,Richard Smith,3,3,45,10,,
201490,HM,1,BIB,BIB,110,10016,Biblical Literature I,1300,1350,MWF,READE,211,A,Sheri Klouda,3,3,45,-1,,YES
201490,HM,1,BIB,BIB,110,10017,Biblical Literature I,1500,1550,MWF,READE,211,A,Joseph Pak,3,3,45,3,,
201490,HM,1,BIB,BIB,210,10018,Biblical Literature II,1200,1250,MWF,READE,211,A,Jennifer Collins,3,3,45,6,,
201490,HM,1,BIB,BIB,210,10021,Biblical Literature II,1500,1550,MWF,READE,238,A,Gregory MaGee,3,3,45,22,,
201490,HM,1,BIB,BIB,210,10920,Biblical Literature II,1400,1450,MWF,READE,238,A,Edward Meadors,3,3,45,0,,YES
201490,HM,1,BIB,BIB,210,15360,Biblical Literature II,900,950,MWF,READE,238,A,Edward Meadors,3,3,45,13,,
201490,HM,1,BIB,BIB,272,10921,Inductive Study of the Bible,1100,1150,MWF,AYRES,212,A,Andrew Draper,3,3,15,8,,
201490,HM,1,BIB,BIB,272,15652,Inductive Study of the Bible,1300,1350,MWF,AYRES,212,A,Michael Harbin,3,3,15,2,,
201490,HM,1,BIB,BIB,320,16307,Pentateuch,900,950,MWF,AYRES,214,A,Sheri Klouda,3,3,20,12,,
201490,HM,1,BIB,BIB,331,10672,Pauline Epistles,1400,1450,MWF,READE,127,A,Gregory MaGee,3,3,25,9,,
201490,HM,1,BIB,BIB,340,10030,Hebrew Prophets,1400,1515,TR,READE,127,A,Richard Smith,3,3,25,18,,
201490,HM,1,BIB,BIB,341,10031,The Gospels,1230,1345,TR,READE,127,A,Edward Meadors,3,3,25,0,,YES
201490,HM,1,BIB,BIB,350,10032,Poetic and Wisdom Literature,1300,1350,MWF,READE,127,A,Richard Smith,3,3,25,11,,
201490,HM,1,BIB,BIB,462,10033,Biblical Theology,1200,1250,MWF,READE,127,A,Gregory MaGee,3,3,20,-3,,YES
201490,HM,1,BIB,BIB,493,16115,Biblical Lit Capstone-SP,1230,1345,TR,READE,221,G,Sheri Klouda,3,3,16,12,YES,
201490,HM,1,BIB,CED,100,10035,Intro Christian Ed Minist-SL,1100,1150,MWF,READE,119,A,Michael Severe,3,3,20,7,,
201490,HM,1,BIB,CED,100,15786,Intro Christian Ed Minist-SL,900,950,MWF,READE,119,A,Michael Severe,3,3,20,1,,
201490,HM,1,BIB,CED,232,10042,His & Theo for Chr Ed Min,1400,1450,MWF,READE,128,A,Michael Severe,3,3,35,21,,
201490,HM,1,BIB,CED,322,10044,Discipleship in Youth Ministry,1500,1650,R,READE,218,A,Michael Severe,2,2,20,5,,
201490,HM,1,BIB,CED,351,10045,Tchg & Learning Strategies-SP,1400,1515,TR,READE,128,A,Faye Chechowich,3,3,13,0,,YES
201490,HM,1,BIB,CED,351,16309,Teaching & Learning Strat-SP,1230,1345,TR,READE,128,A,Faye Chechowich,3,3,13,3,,
201490,HM,1,BIB,CED,371,10047,Leadership Development,1300,1350,MWF,RUPP,203,A,Andrew Draper,3,3,35,12,,
201490,HM,1,BIB,GRK,201,10009,Elementary New Testament Greek,900,950,MTWF,READE,127,A,William Heth,4,4,28,14,,
201490,HM,1,BIB,GRK,301,10010,Greek Grammar and Syntax,1100,1150,MWF,READE,127,A,William Heth,3,3,25,7,,
201490,HM,1,BIB,HEB,311,16349,Hebrew Syntax and Lexicography,1400,1450,MWF,READE,118,A,Sheri Klouda,3,3,15,8,,
201490,HM,1,BIB,PHI,201,14683,Logic,1100,1150,MWF,READE,235,A,Kevin Diller,3,3,25,1,,
201490,HM,1,BIB,PHI,202,16395,History of Philosophy I,1400,1515,TR,READE,238,A,Katherine Duncan,3,3,25,18,,
201490,HM,1,BIB,PHI,322,10057,Wrld Relgns:Western Trad-CC,1500,1550,MWF,EULER,100,A,Kevin Diller,3,3,25,6,,
201490,HM,1,BIB,PHI,360,16602,IS Political Philosophy,,,,,,I,Bradley Seeman,1,1,1,0,YES,YES
201490,HM,1,BIB,PHI,382,15026,Ethics Bowl,1600,1750,W,READE,128,A,Katherine Duncan,1,1,20,17,YES,
201490,HM,1,BIB,PHI,382H,15027,Ethics Bowl-Hon,1600,1750,W,READE,128,A,Katherine Duncan,1,1,12,10,YES,
201490,HM,1,BIB,PHI,413,10058,Contemporary Christian Belief,900,950,MWF,AYRES,215,A,Bradley Seeman,3,3,45,4,,
201490,HM,1,BIB,PHI,413,10060,Contemporary Christian Belief,1400,1450,MWF,AYRES,215,A,Bradley Seeman,3,3,45,3,,
201490,HM,1,BIB,PHI,413,11289,Contemporary Christian Belief,1230,1345,TR,AYRES,215,A,Katherine Duncan,3,3,45,0,,YES
201490,HM,1,BIB,PHI,413,16479,Contemporary Christian Belief,1530,1645,TR,READE,238,A,Katherine Duncan,3,3,45,24,,
201490,HM,1,BIB,PHI,413,16565,Contemporary Christian Belief,,,,,,A,Bradley Seeman,3,3,1,0,YES,YES
201490,HM,1,BIB,PHI,425,16396,Philosophical & Theological Me,1800,2015,M,AYRES,212,S,Bradley Seeman,3,3,15,8,,
201490,HM,1,BIB,PHI,432,16308,Epistemology,1530,1645,TR,ZON,201,A,Kevin Diller,3,3,25,19,,
201490,HM,1,BIB,REL,311,10048,Found ChristianWrld Mission,1400,1515,TR,READE,241,A,Roger Ringenberg,3,3,20,8,,
201490,HM,1,BIB,REL,313,10049,Historic Christian Belief,1600,1650,MWF,READE,211,A,Joseph Pak,3,3,45,1,,
201490,HM,1,BIB,REL,313,10050,Historic Christian Belief,800,850,MWF,READE,238,A,William Heth,3,3,45,-2,,YES
201490,HM,1,BIB,REL,313,10051,Historic Christian Belief,930,1045,TR,AYRES,215,A,Roger Ringenberg,3,3,45,-7,,YES
201490,HM,1,BIB,REL,313,10052,Historic Christian Belief,1400,1515,TR,AYRES,215,A,Joseph Pak,3,3,45,-1,,YES
201490,HM,1,BIB,ISP,355,15212,Celtic Christianity,,,,IRD,,T,Michael Harbin,3,3,1,0,YES,YES
201510,HM,1,BIB,BIB,103,20866,Intro to Holy Land Studies-CC,,,,JUC,,K,Philip Collins,3,3,10,10,YES,
201510,HM,1,BIB,BIB,103,21142,Intro to Holy Land Studies-CC,,,,JUC,,K,Philip Collins,3,3,5,5,YES,
201510,HM,1,BIB,BIB,110,20504,Biblical Literature I,800,950,MWF,READE,211,A,Richard Smith,3,3,45,45,YES,
201510,HM,1,BIB,BIB,110,20504,Biblical Literature I,800,1020,TR,READE,211,A,Richard Smith,0,0,0,0,YES,
201510,HM,1,BIB,BIB,203,20497,In the Footsteps of Paul-CC,,,,OCP,,K,Gregory MaGee,3,3,44,44,YES,
201510,HM,1,BIB,BIB,204,21146,Intro to Holy Land Studies-CC,,,,JUC,,K,Philip Collins,3,3,10,10,YES,
201510,HM,1,BIB,BIB,210,20093,Biblical Literature II,1300,1500,MTWRF,NS,121,A,Edward Meadors,3,3,40,40,YES,
201510,HM,1,BIB,CED,493,20005,Christian Ed Min Sr Capstone,1300,1500,MTWRF,READE,128,S,Michael Severe,3,3,35,35,YES,
201510,HM,1,BIB,PHI,382,21051,Ethics Bowl,1600,1730,TR,READE,127,A,James Spiegel,1,1,12,12,YES,
201510,HM,1,BIB,PHI,382H,21052,Ethics Bowl-Hon,1600,1730,TR,READE,127,A,James Spiegel,1,1,12,12,YES,
201510,HM,1,BIB,PHI,413,20412,Contemp Christian Belief,1300,1510,MTWRF,,,A,Bradley Seeman,3,3,45,45,YES,
201510,HM,1,BIB,PHI,413,21125,Contemporary Christian Belief,900,950,MWF,RA,SR,A,Kevin Diller,3,3,45,45,YES,
201510,HM,1,BIB,PHI,413,21125,Contemporary Christian Belief,1000,1200,TR,RA,SR,A,Kevin Diller,0,0,0,0,YES,
201510,HM,1,BIB,PHI,413,21125,Contemporary Christian Belief,1100,1200,MWF,RA,SR,A,Kevin Diller,0,0,0,0,YES,
201510,HM,1,BIB,PHI,413,21296,Contemporary Christian Belief,,,,,,A,James Spiegel,3,3,20,20,YES,
201510,HM,1,BIB,REL,303,21041,"7 Cities, 7 Coun, Hist Doc-CC",1300,1630,MTWRF,READE,212,A,Michael Harbin,3,3,35,35,YES,
201510,HM,1,BIB,REL,303,21041,"7 Cities, 7 Coun, Hist Doc-CC",1300,1630,MTWRF,READE,212,A,Joseph Pak,3,3,35,35,YES,
201510,HM,1,BIB,REL,313,20006,Historic Christian Belief,1300,1510,MTWRF,READE,238,A,William Heth,3,3,45,45,YES,
201520,HM,1,BIB,BIB,110,30014,Biblical Literature I,900,950,MWF,AYRES,215,A,Sheri Klouda,3,3,45,45,YES,
201520,HM,1,BIB,BIB,110,30016,Biblical Literature I,1200,1250,MWF,READE,211,A,Sheri Klouda,3,3,45,45,YES,
201520,HM,1,BIB,BIB,110,30017,Biblical Literature I,1400,1450,MWF,READE,238,A,Richard Smith,3,3,45,45,YES,
201520,HM,1,BIB,BIB,110,33477,Biblical Literature I,1230,1345,TR,READE,211,A,Joseph Pak,3,3,45,45,YES,
201520,HM,1,BIB,BIB,110,34948,Biblical Literature I,1100,1150,MWF,READE,240,A,Richard Smith,3,3,45,45,YES,
